,time,Pres31-DB1.AM_rpm_act,Pres31-DB2.AM_Arka_Vib,Pres31-DB2.AM_Arka_Balans,Pres31-DB2.AM_Arka_Eks_kac,Pres31-DB2.AM_Arka_Bosluk,Pres31-DB2.AM_Arka_Rulman,Pres31-DB2.AM_Arka_Acc,Pres31-DB2.AM_On_Vib,Pres31-DB2.AM_On_Balans,Pres31-DB2.AM_On_Eks_kac,Pres31-DB2.AM_On_Bosluk,Pres31-DB2.AM_On_Rulman,Pres31-DB2.AM_On_Acc,Pres31-DB2.AM_Govde_sic,Pres31-DB1.Yaglama_bas_act,Pres31-DB1.Yaglama_sic_act,Pres31-DB2.Hid_Pomp_Vib,Pres31-DB2.Hid_Pomp_Balans,Pres31-DB2.Hid_Pomp_Palet,Pres31-DB2.Hid_Pomp_Motor_Rulman,Pres31-DB2.Hid_Pomp_Acc,Pres31-DB2.Volan_Vib,Pres31-DB2.Volan_Balans,Pres31-DB2.Volan_Disli,Pres31-DB2.Volan_Rulman,Pres31-DB2.Volan_Acc,Pres31-DB2.Volan_Yatak_sic,feedback,prediction
1302,2022-11-08 14:30:00+00:00,1480.0,2.5976396363031173,0.26431186112506583,1.3518630298640084,3.308745156453278,0.6582608916657343,2.4495614133149073,1.1310706653728768,0.1656790051354877,0.42060605879703483,1.862495976190483,0.8825660215073912,5.197807217708354,29.54648173600435,35.519581823256026,23.516682156133587,0.801203380190636,0.596799585844648,0.16634126181097905,0.7015044695111042,1.3503318530998862,0.5134194554731454,0.16923324973994533,0.011471382938906741,0.00607762584018265,1.5738382587261142,33.650297537922796,0.0,1.0
1303,2022-11-08 15:00:00+00:00,1480.0,2.5238466659726093,0.24358145223711397,1.3766163654626318,3.202591618858421,0.7516783202694155,2.5237699499178166,1.1429201156491382,0.1813445255117447,0.4086419723396435,1.8921949933125908,0.888565368842669,5.22241671326051,29.399254588544085,35.53350090972936,23.599999999999124,0.7832483238267739,0.5902101149770546,0.16611366629969498,0.6971150602407692,1.3605443475166474,0.489654417523393,0.15331974168806234,0.017491620343885777,0.013327385249230767,1.4879643415640393,33.698714316624944,0.0,1.0
1304,2022-11-08 15:30:00+00:00,1480.0,2.4724666658057317,0.20158343503945925,1.58208124711264,3.437931159315566,0.7439275894172116,2.4001995257541893,1.5082258359350473,0.3685683989405815,0.5939635163274315,2.212070061758129,0.8635573110348596,5.200181503268343,29.61814863771991,35.54082064843764,23.62206175298757,0.7980050489062526,0.5990594729108227,0.16496654039040679,0.7008938946197455,1.3541813364912274,0.6109367795366307,0.30684356240038335,0.02313176855903457,0.0,1.701266582292918,33.870479627107976,0.0,0.0
1305,2022-11-08 16:00:00+00:00,1480.0,2.2949590690844204,0.22574870234474678,1.2886062520551085,3.181260482071024,0.7827161185234113,2.5366647767952486,1.216290390971579,0.27090862484866224,0.5068513562659687,1.9183554930937714,0.9049741328612578,5.164874755542593,29.64103509971328,35.56280014684304,23.599999999999103,0.7977431956896522,0.5968426325613418,0.1663378445945944,0.699694758098115,1.3518052920190604,0.48819118512767357,0.20896610951661163,0.016869178500000036,0.0,1.2654967002677382,33.96031339268768,0.0,0.0
1306,2022-11-08 16:30:00+00:00,1480.0,2.029943441316081,0.2502414826042239,1.016152457371216,2.7211436945516407,0.8011341492760958,2.6310579550424693,1.0137850643391937,0.1465568875301482,0.4280235871604932,1.6577440422409024,0.9179033858153325,5.194119185307279,29.519904924321363,35.57478950466046,23.5999999999991,0.7344973572462881,0.5329267925800922,0.16606384836912305,0.6917868324322659,1.3516973132670984,0.2494014224791271,0.08317528688083199,0.000979387882573392,0.000678899143730887,0.038424506423841064,33.9862315977393,0.0,0.0
1307,2022-11-08 17:00:00+00:00,1480.0,2.0102078175651066,0.285939860248699,0.9348574384154944,2.72081458657245,0.7822110535579043,2.5774955463068356,1.0088698437098673,0.13103924187247545,0.42149757641734276,1.624050350914293,0.9251242953686037,5.218763532195669,29.18047998847261,35.54571846025475,23.599999999999092,0.6805563660117965,0.4898683650027994,0.16496622777442646,0.687986222524437,1.351896505549197,0.27568715855172427,0.1014079160953303,0.0,0.0,0.01707434944237918,33.95658540372266,0.0,0.0
1308,2022-11-08 17:30:00+00:00,1480.0,2.020181217048477,0.2585250711513645,0.920227454668124,2.7143690393970337,0.770250638781087,2.4108048689243238,1.0137368566945164,0.13600803872254885,0.4035298555319184,1.6281356063253087,0.9317544788035543,5.169360025313818,28.77232191308607,35.163954382528836,23.620805065579965,0.697447537393266,0.470460991300932,0.165032506468037,0.6936033592066687,1.3554844184750727,0.3248801753403146,0.1304386950166674,0.0013106283029947151,0.001757540021289178,0.053439498915525116,33.76925581829014,0.0,0.0
1309,2022-11-08 18:00:00+00:00,1480.0,1.9861275499097995,0.25975107482653637,0.9002614444327937,2.6974373524687802,0.758392727952998,2.414589017724697,1.0027694108179566,0.13267965218655778,0.3996271030131241,1.6153521913533808,0.9451527841770566,5.210004519354842,28.732167554942244,35.531216115173606,23.752403697154822,0.7253651847494066,0.4897660386154809,0.16766543076349885,0.687238353147359,1.3519491557485068,0.2593621723648638,0.09256362745902691,0.0,0.0,0.0,33.67597414285662,0.0,0.0
1310,2022-11-08 18:30:00+00:00,1480.0,1.9827176061538534,0.25672499745940247,0.9114605933500041,2.674484263806967,0.7490481782560169,2.353269234073248,1.0197943760339976,0.13298752549744697,0.3886217571103725,1.6088120406287079,0.9221967257845345,5.199161861111088,28.44464180803352,35.48973567951691,23.877400039609476,0.6958035550941201,0.4805687721533069,0.16723486547821004,0.6833711101445735,1.3503170226327905,0.26811263154692583,0.10017605559288066,0.0,0.0,0.0,33.56953233586867,0.0,0.0
1311,2022-11-08 19:00:00+00:00,1480.0,2.015767619736827,0.2630605357578991,0.8951339166885233,2.720085703217027,0.6686094661695239,2.296313152468805,1.010056429203982,0.13552171857485684,0.387312721615553,1.5846120953698906,0.9406894039392301,5.223554235867098,28.199202034351185,35.44626112943444,23.978600405679472,0.6953562624628937,0.5127388221154894,0.16549064438876632,0.6934343694417826,1.358730585378141,0.2968136319892477,0.10405320931346196,0.0,0.0,0.0,33.45752520356766,0.0,0.0
