,time,Press031.Ana_hava_debi_act,Press031.Ana_hava_sic_act,Press031.Deng_hava_bas_act,Press031.Deng_hava_debi_act,cycle,id
0,2022-06-20 07:00:00+00:00,13.863836925659472,26.501442307692358,3.0803466120481953,4.48322891566265,0.0,1
1,2022-06-20 07:30:00+00:00,13.854817287499944,26.522692307692353,3.0824990201923104,4.043201920192306,1.0,1
2,2022-06-20 08:00:00+00:00,13.300825587198487,26.62532467532458,3.074265481447126,3.653450834879405,2.0,1
3,2022-06-20 08:30:00+00:00,13.912969987999988,26.675599999999992,3.084887536000004,4.8640799999999995,3.0,1
4,2022-06-20 09:00:00+00:00,12.783090157041553,26.77578520770006,3.059206168186433,3.923860146909831,4.0,1
5,2022-06-20 09:30:00+00:00,6.899754253308127,27.279678638941952,2.9754723582230715,1.8536105671077499,5.0,1
6,2022-06-20 10:00:00+00:00,7.760754889095987,27.367101584343054,2.9731691714818282,4.030428704566633,6.0,1
7,2022-06-20 10:30:00+00:00,7.469554078747616,27.389848197343568,2.9808041698292036,2.330967741935484,7.0,1
8,2022-06-20 11:00:00+00:00,7.035727699530507,27.466760563380276,2.976628045070428,1.7794647868544602,8.0,1
9,2022-06-20 11:30:00+00:00,7.184730245664735,27.515221579960922,2.973885422928704,2.0161464354527925,9.0,1
10,2022-06-20 12:00:00+00:00,7.906321288973368,27.506939163497847,2.9779627538022657,4.057252848859315,10.0,1
11,2022-06-20 12:30:00+00:00,6.927804391217572,27.559580838323313,2.9793411656686635,2.0563173652694595,11.0,1
12,2022-06-20 13:00:00+00:00,7.106149949341442,27.529685916920002,2.977228623100298,1.9649847821681874,12.0,1
13,2022-06-20 13:30:00+00:00,7.164696394686906,27.48624288425052,2.975476955407979,1.9936907020872856,13.0,1
14,2022-06-20 14:00:00+00:00,6.989749767377217,27.44615384615383,2.9721946181649703,1.5877849860982378,14.0,1
15,2022-06-20 14:30:00+00:00,8.165990334299526,27.3253140096619,2.9798111236714897,4.171835748792271,15.0,1
16,2022-06-20 15:00:00+00:00,6.96215073529411,27.36314338235322,2.9788041810661703,1.4235386029411752,16.0,1
17,2022-06-20 15:30:00+00:00,7.1751293881700615,27.368669131238914,2.9761602670979754,2.0330221792975993,17.0,1
18,2022-06-20 16:00:00+00:00,6.896885688568858,27.422502250225083,2.9739334194419436,1.8974167416741672,18.0,1
19,2022-06-20 16:30:00+00:00,7.554076484141803,27.415485074626805,2.975537094216418,3.4581529850746264,19.0,1
20,2022-06-20 17:00:00+00:00,6.990469613259659,27.448802946593048,2.9791537661141825,1.8904788213627988,20.0,1
21,2022-06-20 17:30:00+00:00,6.732910244786939,27.4964641885766,2.976740970988202,1.5008068721668186,21.0,1
22,2022-06-20 18:00:00+00:00,7.094793005519764,27.52713891444314,2.975709925482982,2.117911655933762,22.0,1
23,2022-06-20 18:30:00+00:00,6.871639192307689,27.556135531134956,2.974725476190478,1.7887820329670345,23.0,1
24,2022-06-20 19:00:00+00:00,6.748710861878454,27.606629834254278,2.973157875690596,1.8334898710865553,24.0,1
25,2022-06-20 19:30:00+00:00,7.551102794392528,27.600186915888205,2.979739670093449,3.364027943925231,25.0,1
26,2022-06-20 20:00:00+00:00,6.608606167446208,27.662114125351092,2.9794683919550997,1.6696444995322717,26.0,1
27,2022-06-20 20:30:00+00:00,6.649367441860466,27.685209302325646,2.9772479153488356,2.022027906976744,27.0,1
28,2022-06-20 21:00:00+00:00,6.758701655616944,27.699355432780933,2.975373327808475,1.9568324125230228,28.0,1
29,2022-06-20 21:30:00+00:00,6.891154561452518,27.691899441341107,2.9752048268156464,1.9371601489757913,29.0,1
30,2022-06-20 22:00:00+00:00,6.699375000000001,27.709514925373135,2.9740356399253662,2.012014925373135,30.0,1
31,2022-06-20 22:30:00+00:00,7.515582761998035,27.710479921645028,2.97952137512241,4.11121445641528,31.0,1
32,2022-06-20 23:00:00+00:00,6.6451724137931025,27.847623485554706,2.977963498602034,1.9585088536812667,32.0,1
33,2022-06-20 23:30:00+00:00,6.39274725091574,27.984706959706692,2.977422266483522,2.106410228937729,33.0,1
34,2022-06-21 00:00:00+00:00,6.406663591705065,28.094101382488454,2.9771055327188973,1.9081105990783411,34.0,1
35,2022-06-21 00:30:00+00:00,6.192558137596889,28.157945736434446,2.975710765503879,2.119670542635664,35.0,1
36,2022-06-21 01:00:00+00:00,6.373286118980156,28.22426817752586,2.9738662096317223,1.773824362606232,36.0,1
37,2022-06-21 01:30:00+00:00,6.046701421800965,28.2556398104261,2.9749645251184758,1.9319999715639808,37.0,1
38,2022-06-21 02:00:00+00:00,7.014418604651172,28.219255813953005,2.9780684874418433,3.969953469767442,38.0,1
39,2022-06-21 02:30:00+00:00,6.374972167903531,28.24573283858964,2.979409128942469,2.0900556586270844,39.0,1
40,2022-06-21 03:00:00+00:00,6.45020446096655,28.260037174720843,2.976859776022303,2.064795539033455,40.0,1
41,2022-06-21 03:30:00+00:00,6.223143974534767,28.289324191968557,2.975595181194909,2.1261606268364366,41.0,1
42,2022-06-21 04:00:00+00:00,6.18345857418112,28.35375722543394,2.975633953757229,2.1653564354527934,42.0,1
43,2022-06-21 04:30:00+00:00,6.136252446183956,28.41487279843447,2.9755006937377675,2.0798531800391427,43.0,1
44,2022-06-21 05:00:00+00:00,6.0787112403100645,28.489728682170167,2.9732423895348874,2.020290697674419,44.0,1
45,2022-06-21 05:30:00+00:00,6.074587332053741,28.588483685220673,2.9747786142034376,1.914625719769675,45.0,1
