,time,AM_rpm_act,AM_rpm_act_1,Ana_hava_debi_act,Ana_hava_debi_act_1,Ana_hava_sic_act,Ana_hava_sic_act_1,Bit_control,Bit_control_1,Deng_hava_bas_act,Deng_hava_bas_act_1,Deng_hava_debi_act,Deng_hava_debi_act_1,Deng_hava_sic_act,Deng_hava_sic_act_1,Frn_grup_sic_act,Frn_grup_sic_act_1,Hid_emn_bas_act,Hid_emn_bas_act_1,Kalip_No,Kalip_No_1,Kavr_hava_debi_act,Kavr_hava_debi_act_1,Kavr_hava_sic_act,Kavr_hava_sic_act_1,Koc_Ton_act,Koc_Ton_act_1,Reg_poz_act,Reg_poz_act_1,Rob_ctr_sic_act,Rob_ctr_sic_act_1,Robot_hava_debi_act,Robot_hava_debi_act_1,Robot_hava_sic_act,Robot_hava_sic_act_1,Yaglama_bas_act,Yaglama_bas_act_1,Yaglama_sic_act,Yaglama_sic_act_1,Yedek1,Yedek1_1,Yedek2,Yedek2_1
0,2022-05-30 10:30:00+00:00,1480.0,1480.0,14.829399602251408,14.829399602251408,26.921388367729886,26.921388367729886,6.2363977485928705,6.2363977485928705,3.0781065103189458,3.0781065103189458,6.012363977485932,6.012363977485932,31.089118198874377,31.089118198874377,36.59999999999999,36.59999999999999,139.1669793621013,139.1669793621013,5.0,5.0,13.274502789868675,13.274502789868675,27.46716697936221,27.46716697936221,0.0,0.0,896.5290999999972,896.5290999999972,32.299999999999685,32.299999999999685,12.252251401500933,12.252251401500933,26.901688555347082,26.901688555347082,38.42795497185742,38.42795497185742,29.29999999999972,29.29999999999972,10.0,10.0,20.0,20.0
1,2022-05-30 11:00:00+00:00,1480.0,1480.0,13.35390050698081,13.35390050698081,26.810558464223508,26.810558464223508,6.214659685863874,6.214659685863874,3.0741431055846506,3.0741431055846506,3.5793542757417125,3.5793542757417125,31.47329842931922,31.47329842931922,36.59999999999922,36.59999999999922,139.6020942408377,139.6020942408377,5.0,5.0,12.053333328097736,12.053333328097736,27.45951134380464,27.45951134380464,0.0,0.0,896.5291000000193,896.5291000000193,32.38403141361327,32.38403141361327,9.729092488656168,9.729092488656168,27.10846422338581,27.10846422338581,38.44965095986043,38.44965095986043,29.243542757417316,29.243542757417316,10.0,10.0,20.0,20.0
2,2022-05-30 11:30:00+00:00,1480.0,1480.0,13.915654062335381,13.915654062335381,26.717471466198468,26.717471466198468,6.231782265144864,6.231782265144864,3.0817925311676913,3.0817925311676913,4.519218611062336,4.519218611062336,31.32159789288842,31.32159789288842,36.59999999999922,36.59999999999922,140.00526777875328,140.00526777875328,5.0,5.0,13.150166812115868,13.150166812115868,27.366286215978793,27.366286215978793,0.0,0.0,896.5291000000192,896.5291000000192,32.5,32.5,7.211281822651436,7.211281822651436,27.347234416154453,27.347234416154453,38.43582089552247,38.43582089552247,29.20000000000046,29.20000000000046,10.0,10.0,20.0,20.0
3,2022-05-30 12:00:00+00:00,1480.0,1480.0,13.576393278659573,13.576393278659573,26.726543209876624,26.726543209876624,6.215167548500882,6.215167548500882,3.076990951499119,3.076990951499119,4.706155149911811,4.706155149911811,31.284479717813262,31.284479717813262,36.59999999999923,36.59999999999923,139.8183421516755,139.8183421516755,5.0,5.0,12.617363310405654,12.617363310405654,27.30388007054667,27.30388007054667,0.0,0.0,896.5291000000191,896.5291000000191,32.55546737213323,32.55546737213323,8.06405643474426,8.06405643474426,27.293033509700052,27.293033509700052,38.4157848324515,38.4157848324515,29.20000000000048,29.20000000000048,10.0,10.0,20.0,20.0
4,2022-05-30 12:30:00+00:00,1480.0,1480.0,13.827280840787102,13.827280840787102,26.78211091234356,26.78211091234356,6.231663685152057,6.231663685152057,3.080934322898041,3.080934322898041,5.028103754919502,5.028103754919502,31.303756708408,31.303756708408,36.58649373881875,36.58649373881875,140.05187835420392,140.05187835420392,5.0,5.0,13.024060817531291,13.024060817531291,27.308497316636725,27.308497316636725,0.0,0.0,896.5291000000187,896.5291000000187,32.62075134168097,32.62075134168097,7.4311717280858645,7.4311717280858645,27.370930232558063,27.370930232558063,38.42915921288013,38.42915921288013,29.200000000000514,29.200000000000514,10.0,10.0,20.0,20.0
5,2022-05-30 13:00:00+00:00,1480.0,1480.0,13.35017887119859,13.35017887119859,26.85590339892669,26.85590339892669,6.22093023255814,6.22093023255814,3.076341420393562,3.076341420393562,4.590930214669046,4.590930214669046,31.38381037567082,31.38381037567082,36.507155635062524,36.507155635062524,140.08944543828264,140.08944543828264,5.0,5.0,12.355661890876576,12.355661890876576,27.33881932021454,27.33881932021454,0.0,0.0,896.5291000000187,896.5291000000187,32.73828264758533,32.73828264758533,7.417262959749557,7.417262959749557,27.37737030411438,27.37737030411438,38.43649373881941,38.43649373881941,29.200000000000514,29.200000000000514,10.0,10.0,20.0,20.0
6,2022-05-30 13:30:00+00:00,1480.0,1480.0,13.466937314210075,13.466937314210075,26.906619593998183,26.906619593998183,6.2091791703442185,6.2091791703442185,3.0754724589585165,3.0754724589585165,4.53106796116504,4.53106796116504,31.41809355692846,31.41809355692846,36.51023830538379,36.51023830538379,140.06443071491614,140.06443071491614,5.0,5.0,12.78635479964698,12.78635479964698,27.332391879964565,27.332391879964565,0.0,0.0,896.5291000000191,896.5291000000191,32.79999999999989,32.79999999999989,7.569020291262137,7.569020291262137,27.38323036187102,27.38323036187102,38.4291262135922,38.4291262135922,29.20000000000048,29.20000000000048,10.0,10.0,20.0,20.0
7,2022-05-30 14:00:00+00:00,1480.0,1480.0,13.59594521113076,13.59594521113076,26.938957597173072,26.938957597173072,6.219081272084805,6.219081272084805,3.0798904054770384,3.0798904054770384,4.708842756183745,4.708842756183745,31.41890459363952,31.41890459363952,36.527915194346264,36.527915194346264,140.09010600706713,140.09010600706713,5.0,5.0,12.807146635159008,12.807146635159008,27.345583038869226,27.345583038869226,0.0,0.0,896.5291000000191,896.5291000000191,32.878091872792275,32.878091872792275,7.386890454063622,7.386890454063622,27.40300353356877,27.40300353356877,38.44302120141346,38.44302120141346,29.200000000000482,29.200000000000482,10.0,10.0,20.0,20.0
8,2022-05-30 14:30:00+00:00,1480.0,1480.0,13.337376720000002,13.337376720000002,27.002697674418688,27.002697674418688,6.222325581395348,6.222325581395348,3.07654904093024,3.07654904093024,3.709981375813956,3.709981375813956,31.651906976744325,31.651906976744325,36.5,36.5,139.95348837209303,139.95348837209303,5.0,5.0,13.180353480000013,13.180353480000013,27.275162790697664,27.275162790697664,0.0,0.0,896.5291000000177,896.5291000000177,32.90000000000067,32.90000000000067,8.566334872558153,8.566334872558153,27.26641860465124,27.26641860465124,38.430790697674496,38.430790697674496,29.200000000000504,29.200000000000504,10.0,10.0,20.0,20.0
9,2022-05-30 15:00:00+00:00,1480.0,1480.0,13.699608720655153,13.699608720655153,26.98025477707009,26.98025477707009,6.212920837124659,6.212920837124659,3.0771644740673323,3.0771644740673323,4.703612356687899,4.703612356687899,31.29745222929966,31.29745222929966,36.531665150136156,36.531665150136156,139.7879890809827,139.7879890809827,5.0,5.0,12.621419461328465,12.621419461328465,27.252229299363027,27.252229299363027,0.0,0.0,896.5291000000183,896.5291000000183,32.90000000000068,32.90000000000068,8.165614189262973,8.165614189262973,27.235395814376776,27.235395814376776,38.131483166515004,38.131483166515004,29.20891719745261,29.20891719745261,10.0,10.0,20.0,20.0
