,time,Press030.Ana_hava_debi_act_1
119,2022-05-30 10:32:00+00:00,23.82
120,2022-05-30 10:32:01+00:00,23.86
121,2022-05-30 10:32:02+00:00,-666.0
122,2022-05-30 10:32:03+00:00,23.86
123,2022-05-30 10:32:04+00:00,23.11
124,2022-05-30 10:32:05+00:00,-666.0
125,2022-05-30 10:32:06+00:00,22.56
126,2022-05-30 10:32:07+00:00,-666.0
127,2022-05-30 10:32:08+00:00,22.56
128,2022-05-30 10:32:09+00:00,22.56
129,2022-05-30 10:32:10+00:00,-666.0
130,2022-05-30 10:32:11+00:00,19.69
131,2022-05-30 10:32:12+00:00,19.69
132,2022-05-30 10:32:13+00:00,-666.0
133,2022-05-30 10:32:14+00:00,18.04
134,2022-05-30 10:32:15+00:00,-666.0
135,2022-05-30 10:32:16+00:00,18.04
136,2022-05-30 10:32:17+00:00,15.61
137,2022-05-30 10:32:18+00:00,-666.0
138,2022-05-30 10:32:19+00:00,15.61
139,2022-05-30 10:32:20+00:00,15.61
140,2022-05-30 10:32:21+00:00,-666.0
141,2022-05-30 10:32:22+00:00,12.44
142,2022-05-30 10:32:23+00:00,12.44
143,2022-05-30 10:32:24+00:00,-666.0
144,2022-05-30 10:32:25+00:00,11.52
145,2022-05-30 10:32:26+00:00,11.52
146,2022-05-30 10:32:27+00:00,-666.0
147,2022-05-30 10:32:28+00:00,11.52
148,2022-05-30 10:32:29+00:00,10.09
149,2022-05-30 10:32:30+00:00,-666.0
150,2022-05-30 10:32:31+00:00,10.09
151,2022-05-30 10:32:32+00:00,9.26
152,2022-05-30 10:32:33+00:00,-666.0
153,2022-05-30 10:32:34+00:00,9.26
154,2022-05-30 10:32:35+00:00,-666.0
155,2022-05-30 10:32:36+00:00,8.57
156,2022-05-30 10:32:37+00:00,8.57
157,2022-05-30 10:32:38+00:00,-666.0
158,2022-05-30 10:32:39+00:00,8.309999
159,2022-05-30 10:32:40+00:00,8.309999
160,2022-05-30 10:32:41+00:00,-666.0
161,2022-05-30 10:32:42+00:00,8.309999
162,2022-05-30 10:32:43+00:00,7.99
163,2022-05-30 10:32:44+00:00,-666.0
164,2022-05-30 10:32:45+00:00,7.99
165,2022-05-30 10:32:46+00:00,7.92
166,2022-05-30 10:32:47+00:00,-666.0
167,2022-05-30 10:32:48+00:00,7.92
168,2022-05-30 10:32:49+00:00,7.92
169,2022-05-30 10:32:50+00:00,-666.0
170,2022-05-30 10:32:51+00:00,7.84
171,2022-05-30 10:32:52+00:00,7.84
172,2022-05-30 10:32:53+00:00,-666.0
173,2022-05-30 10:32:54+00:00,7.81
174,2022-05-30 10:32:55+00:00,7.8
175,2022-05-30 10:32:56+00:00,-666.0
176,2022-05-30 10:32:57+00:00,7.8
177,2022-05-30 10:32:58+00:00,-666.0
178,2022-05-30 10:32:59+00:00,7.8
179,2022-05-30 10:33:00+00:00,7.74
180,2022-05-30 10:33:01+00:00,-666.0
181,2022-05-30 10:33:02+00:00,7.74
182,2022-05-30 10:33:03+00:00,7.74
183,2022-05-30 10:33:04+00:00,-666.0
184,2022-05-30 10:33:05+00:00,7.74
185,2022-05-30 10:33:06+00:00,7.73
186,2022-05-30 10:33:07+00:00,-666.0
187,2022-05-30 10:33:08+00:00,7.73
188,2022-05-30 10:33:09+00:00,-666.0
189,2022-05-30 10:33:10+00:00,7.73
190,2022-05-30 10:33:11+00:00,-666.0
191,2022-05-30 10:33:12+00:00,7.69
192,2022-05-30 10:33:13+00:00,7.68
193,2022-05-30 10:33:14+00:00,-666.0
194,2022-05-30 10:33:15+00:00,7.68
195,2022-05-30 10:33:16+00:00,7.68
196,2022-05-30 10:33:17+00:00,-666.0
197,2022-05-30 10:33:18+00:00,7.64
198,2022-05-30 10:33:19+00:00,7.64
199,2022-05-30 10:33:20+00:00,-666.0
200,2022-05-30 10:33:21+00:00,7.63
201,2022-05-30 10:33:22+00:00,7.63
202,2022-05-30 10:33:23+00:00,-666.0
203,2022-05-30 10:33:24+00:00,7.63
204,2022-05-30 10:33:25+00:00,-666.0
205,2022-05-30 10:33:26+00:00,7.62
206,2022-05-30 10:33:27+00:00,7.62
207,2022-05-30 10:33:28+00:00,-666.0
208,2022-05-30 10:33:29+00:00,7.62
209,2022-05-30 10:33:30+00:00,7.67
210,2022-05-30 10:33:31+00:00,-666.0
211,2022-05-30 10:33:32+00:00,7.67
212,2022-05-30 10:33:33+00:00,8.33
213,2022-05-30 10:33:34+00:00,-666.0
214,2022-05-30 10:33:35+00:00,8.33
215,2022-05-30 10:33:36+00:00,8.33
216,2022-05-30 10:33:37+00:00,-666.0
217,2022-05-30 10:33:38+00:00,13.2
218,2022-05-30 10:33:39+00:00,-666.0
219,2022-05-30 10:33:40+00:00,13.2
220,2022-05-30 10:33:41+00:00,17.15
221,2022-05-30 10:33:42+00:00,-666.0
222,2022-05-30 10:33:43+00:00,17.15
223,2022-05-30 10:33:44+00:00,20.29
224,2022-05-30 10:33:45+00:00,-666.0
225,2022-05-30 10:33:46+00:00,20.29
226,2022-05-30 10:33:47+00:00,22.79
227,2022-05-30 10:33:48+00:00,-666.0
228,2022-05-30 10:33:49+00:00,22.79
229,2022-05-30 10:33:50+00:00,-666.0
230,2022-05-30 10:33:51+00:00,24.34
231,2022-05-30 10:33:52+00:00,24.34
232,2022-05-30 10:33:53+00:00,-666.0
233,2022-05-30 10:33:54+00:00,24.34
234,2022-05-30 10:33:55+00:00,24.98
235,2022-05-30 10:33:56+00:00,-666.0
236,2022-05-30 10:33:57+00:00,24.98
237,2022-05-30 10:33:58+00:00,24.94
238,2022-05-30 10:33:59+00:00,-666.0
239,2022-05-30 10:34:00+00:00,24.94
240,2022-05-30 10:34:01+00:00,24.94
241,2022-05-30 10:34:02+00:00,-666.0
242,2022-05-30 10:34:03+00:00,22.93
243,2022-05-30 10:34:04+00:00,21.22
244,2022-05-30 10:34:05+00:00,-666.0
245,2022-05-30 10:34:06+00:00,21.22
246,2022-05-30 10:34:07+00:00,-666.0
247,2022-05-30 10:34:08+00:00,18.09
248,2022-05-30 10:34:09+00:00,18.09
249,2022-05-30 10:34:10+00:00,-666.0
250,2022-05-30 10:34:11+00:00,15.38
251,2022-05-30 10:34:12+00:00,15.38
252,2022-05-30 10:34:13+00:00,-666.0
253,2022-05-30 10:34:14+00:00,-666.0
254,2022-05-30 10:34:15+00:00,15.38
255,2022-05-30 10:34:16+00:00,11.58
